imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote,males_allages_avg_vote,females_allages_avg_vote,top1000_voters_rating
tt0000574,6.1,537,6.3,6,6.1,6.1,6.3
tt0001892,5.9,171,6.1,6,6,5.7,5.9
tt0002101,5.2,420,5.2,5,5,5.8,4.9
tt0002130,7,2019,6.9,7,7,7.2,7
tt0002199,5.7,438,5.8,6,5.8,5.4,5.7
tt0002423,6.8,709,6.8,7,6.7,7.4,6.3
tt0002445,6.2,241,6.2,6,6.2,6.1,5.6
tt0002452,6.7,187,7.1,7,6.7,6.7,5.3
tt0002461,5.5,211,5.4,6,5.5,6.5,5.3
tt0002646,6.7,310,6.6,7,6.6,7,6.3
tt0002844,7,1853,6.6,7,6.9,7.5,6.7
tt0003014,7.1,888,7.2,7,7,7.5,6.9
tt0003037,7,1295,6.5,7,6.9,7.2,6.7
tt0003131,6.7,112,6.9,7,6.7,6.3,6.8
tt0003165,7,1000,6.6,7,6.9,7.5,6.6
tt0003167,5.7,170,6,6,5.6,5.6,5.4
tt0003419,6.5,1645,6.5,7,6.5,6.7,6.2
tt0003471,6.1,527,6.1,6,6,6.4,5.9
tt0003489,6.2,458,6.1,6,6.2,6.1,6.2
tt0003637,6.5,357,6.6,7,6.4,7,6.2
tt0003643,6.5,1050,6.8,7,6.5,6.9,6.5
tt0003657,6.6,121,6.6,7,6.6,6.5,6.6
tt0003740,7.1,2838,6.4,7,7.1,6.9,7.1
tt0003772,6.1,908,6.7,7,6,6.4,6.2
tt0003883,7.6,279,7.6,8,7.5,7.7,6.9
tt0003930,7,1112,6.5,7,6.9,7.4,6.5
tt0003952,6.9,885,6.5,7,6.8,7.6,6.6
tt0003973,5.9,181,6,6,5.8,6.2,5.4
tt0004026,6.8,1008,5.9,7,6.8,6.4,6.5
tt0004066,7,449,7,7,7,7.2,7.3
tt0004099,5.2,398,5.3,5,5.4,4.1,5.4
tt0004134,6.6,429,6.3,7,6.5,7.2,6.4
tt0004150,5.9,378,6,6,5.8,6.6,6
tt0004181,6.1,1195,7.3,7,6.2,5.8,5.7
tt0004457,5.5,354,5.6,6,5.5,5.3,5.5
tt0004465,6.4,921,7.5,8,6.3,6.5,5.8
tt0004635,5.8,802,6.1,6,5.8,6,6
tt0004681,6.3,154,6.6,6.5,6.2,6.4,5.8
tt0004707,6.3,3164,7.1,7,6.3,6.6,6.2
tt0004712,6.3,157,6.4,6,6.3,6.9,5.8
tt0004766,5.6,160,5.7,6,5.5,5.9,5.7
tt0004825,6.6,209,6.5,7,6.6,6.2,6.6
tt0004838,5.7,130,5.7,6,5.7,5.8,5.8
tt0004872,6.7,196,5.8,7,6.7,6.9,6.6
tt0004873,6.2,347,6.3,6,6.1,6.6,6.3
tt0004972,6.4,20885,6.5,7,6.5,5.8,6.6
tt0005060,6.4,859,6.8,7,6.4,6.3,6.2
tt0005078,6.6,2217,6.3,7,6.6,6.9,6.7
tt0005149,6.1,218,6.2,6,6.1,5.9,6
tt0005339,5.8,728,6,6,5.8,6.1,5.6
tt0005402,6.5,172,6.5,7,6.5,6.6,6.6
tt0005529,6.9,242,7,7,6.7,7.6,6.7
tt0005557,6.6,270,6.5,7,6.7,6.4,7.1
tt0005719,5.7,124,5.9,6,5.7,5.1,5.5
tt0005809,6.1,300,7,10,6.2,2.3,5.2
tt0005916,7,751,6.6,7,6.9,7.5,6.7
tt0005951,6.9,535,7,7,6.8,7.1,6.7
tt0005960,6.9,1047,6.7,7,6.8,7.2,6.8
tt0006206,7.3,3936,6.6,7,7.3,7.2,6.9
tt0006327,6,143,6.1,6,5.8,6.8,5.7
tt0006333,6.2,1440,6.9,7,6.2,6.5,6.3
tt0006509,4.6,554,6.6,7,5,3.6,5.5
tt0006517,6,256,6.1,6,6.1,5.7,6.8
tt0006589,6.8,111,7.2,7,6.7,7.1,6.4
tt0006617,6.1,186,6,6,6.1,6.9,6
tt0006688,6.3,132,6.3,6,6.4,6.5,6.2
tt0006731,5.3,603,6.4,7,5.8,4,5.4
tt0006736,6.6,122,6.7,7,6.6,6.4,6.7
tt0006745,5.8,469,6.5,7,6.2,4.3,6.5
tt0006753,6.6,126,6.9,7,6.5,6.8,6.5
tt0006780,6.8,789,6.5,7,6.7,7.4,6.7
tt0006809,6,114,6.1,6,5.9,6.7,5.8
tt0006826,5.6,826,6.7,7,5.8,4.8,5.8
tt0006864,7.8,13116,7.9,8,7.8,7.5,7.5
tt0006886,7.4,814,6.3,7,7.3,8,6.8
tt0007047,6,560,6.7,7,6.2,5.8,6
tt0007183,7,578,6.9,7,6.9,7.6,6
tt0007257,4.8,553,6.4,7,5.2,4.5,5.5
tt0007260,6.6,128,6.6,7,6.5,7,6.8
tt0007309,5.6,163,5.8,6,5.6,6.1,5.6
tt0007338,6.5,290,6.4,6,6.4,6.5,6.4
tt0007340,6.6,182,6.8,7,6.6,7.2,6.5
tt0007361,6.3,333,6,6,6.2,6.8,5.9
tt0007367,5.3,498,6.4,7,5.5,5.1,5.3
tt0007558,6.4,544,6.3,7,6.2,6.8,5.8
tt0007610,5.8,236,5.9,6,5.8,5.8,5.8
tt0007755,6,434,5.8,6,6,5.8,5.8
tt0007801,6.5,291,5.9,6,6.4,6.9,5.6
tt0007983,6.3,110,6.5,6,6.3,6.1,6
tt0008011,6.2,122,6.4,6,6,8,6.3
tt0008100,6.6,552,6.8,7,6.6,6.8,6.3
tt0008150,6.6,474,6.3,7,6.5,6.9,6.5
tt0008188,5.8,581,6.5,7,6.1,5,5.8
tt0008196,5.8,623,6.6,7,5.9,5.5,6.3
tt0008309,6.7,250,6.6,7,6.7,6.8,6.6
tt0008395,7.2,425,6.9,7,7.1,7.8,6.6
tt0008443,6.7,1224,6.9,7,6.6,6.9,6.3
tt0008489,6.5,116,6.8,7,6.4,6,6.8
tt0008499,6.2,743,7,8,6.2,6,5.6
tt0008519,5.7,712,6.6,7,5.9,4.9,5.5
tt0008536,6.9,136,6.7,7,6.8,7.7,6.6
tt0008634,6.2,335,6.2,6,6.3,6.8,6
tt0008663,7.4,1384,7.2,7,7.4,7.3,7.1
tt0008672,6.2,175,6.5,7,6.1,7.2,6
tt0008679,4.8,479,6.9,7,5,3.6,4.8
tt0008687,6.2,132,6.3,6,6.3,4.9,5.7
tt0008710,6.7,138,6.9,7,6.7,6.8,6.8
tt0008775,6.5,537,6.8,7,6.5,6.7,6.3
tt0008827,5.9,730,6.6,7,6,5.3,5.7
tt0008843,6,114,6.1,6,5.9,6.4,6.1
tt0008854,5.5,533,5.5,6,5.4,6.2,5.6
tt0008879,7.3,1411,6.8,7,7.2,7.4,7.2
tt0008891,7,739,6.7,7,6.9,7.9,6.5
tt0008950,6.1,247,6.2,6,6.1,5.9,5.6
tt0009014,6,116,6.1,6,6,5.9,5.6
tt0009062,6.2,496,6,6,6.1,6.7,5.5
tt0009086,5.4,270,6.3,7,5.7,4.6,5.8
tt0009150,6.4,872,6.8,7,6.5,6.1,6.7
tt0009241,5.2,588,6.5,7,5.6,4.5,5.7
tt0009326,6.6,111,6.6,7,6.5,7.4,6.3
tt0009356,5.3,607,6.5,7,5.3,5.3,5.4
tt0009369,5.9,1038,7.1,8,6,5.7,5.6
tt0009440,6.5,162,6.4,6,6.5,6.5,6.6
tt0009475,4.4,470,6.4,7,4.9,3.5,5.5
